ID,TEXT,LABEL,SOURCE_SITE
1,limited time deal,fake_urgency,Amazon
2,deal selling fast,fake_urgency,Amazon
3,offer ends in 15:00,fake_urgency,Amazon
4,"Save ₹1,000 with coupon",neutral,Amazon
5,#1 Best Seller,neutral,Amazon
6,Only 1 left in stock.,fake_scarcity,Amazon
7,500+ bought in past month,fake_scarcity,Amazon
8,Up to 5% back with Amazon Pay Iater,neutral,Amazon
9,10% welcome cashback* on business purchases,neutral,Amazon
10,Product Starting at ₹199,neutral,Amazon
11,Up to 80% off,neutral,Amazon
12,9K+ bought in past month,fake_scarcity,Amazon
13,"FREE delivery Fri, 13 Mar on ₹499 of items fulfilled by Amazon",neutral,Amazon
14,Enjoy Unlimited FREE Same day/1-day delivery,neutral,Amazon
15,9 months and above No Cost EMI,neutral,Amazon
16,6 months No Cost EMI | Shop now,neutral,Amazon
17,Hot new releases,neutral,Amazon
18,"Under ₹1,000",neutral,Amazon
19,Only 2 left in stock,fake_scarcity,Amazon
20,Buy 5 get extra 5% off,neutral,Amazon
21,Flat 50% off,neutral,Amazon
22,Exclusive Offers Up To 45% Off,neutral,Amazon
23,Ends in 1:00:15,fake_urgency,Amazon
24,Sponsored,neutral,Amazon
25,10% instant discount,neutral,Amazon
26,Big Saving Days,neutral,Amazon
27,₹2000 off on exchange,neutral,Amazon
28,No. 1 choice of 10M users,fake_scarcity,Amazon
29,Sell and get 4% extra value,neutral,Flipkart
30,Best Seller with Hot Deal,fake_scarcity,Flipkart
31,Apply Offers for Maximum Savings,neutral,Flipkart
32,Up to 80% off,neutral,Flipkart
33,min 70% off,neutral,Flipkart
34,Get 5% cashback,neutral,Flipkart
35,Top Deals,neutral,Flipkart
36,Suggested for you,neutral,Flipkart
37,Top Deals On Tech,neutral,Flipkart
38,New deals Every Hour,fake_urgency,Flipkart
39,Top Trendy Deas,neutral,Flipkart
40,Earn 100% coin back,neutral,Flipkart
41,60-90% off,neutral,Flipkart
42,50 fantastic deals,neutral,Flipkart
43,Sale of the day,fake_urgency,Flipkart
44,Irresistable Deals,neutral,Flipkart
45,Best Deals On Exchange,neutral,Flipkart
46,12 months no cost emi offer,neutral,Flipkart
47,Deals you'll say WoW!,neutral,Flipkart
48,Summer Steal Deals Ends in 01:00:59,fake_urgency,Flipkart
49,Dhamaka Price Cash Ends in 00d:12h:08m:20s,fake_urgency,Flipkart
50,Lowest Price: Only on LIVE,fake_urgency,Flipkart
51,"Buy ₹750 more, save extra ₹75",neutral,Flipkart
52,"Buy 3 items, save extra ₹100",neutral,Flipkart
53,Deals for The Weekend,fake_urgency,Flipkart
54,We have 1 left at this price,fake_scarcity,Flipkart
55,Early 2026 Deal,neutral,Flipkart
56,10% discount on car rental,neutral,Flipkart
57,Limited-time Deal,fake_urgency,Booking.com
58,We have 6 left,fake_scarcity,Booking.com
59,Highly rated by recent guests,fake_scarcity,Booking.com
60,No payment today. You'll pay when you stay.,neutral,Booking.com
61,Cheapest direct,neutral,Booking.com
62,Flexible ticket upgrade available,neutral,Booking.com
63,See what guests loved the most,neutral,Booking.com
64,12% discount applied,neutral,Booking.com
65,"Sign in, save money",neutral,Booking.com
66,Only 3 left on our site,fake_scarcity,Booking.com
67,Book your next trip for less,neutral,Booking.com
68,Offer Ends in 9d:8h:19m,fake_urgency,Booking.com
69,"With exclusive prices, our packages save you both time and money.",neutral,Booking.com
70,5 million+ reviews,fake_scarcity,Booking.com
71,Save 10% on select rental cars,neutral,Booking.com
72,9 people are looking right now,fake_scarcity,Booking.com
73,In high demand,fake_scarcity,Booking.com
74,Great Value Today,neutral,Booking.com
75,Guest Favourite,fake_scarcity,Booking.com
76,"the home is in the top 10% of the eligible listings based on reatings,review and reliability",fake_scarcity,Booking.com
77,"Act fast, only 7 hours left to book",fake_urgency,Booking.com
78,The host will stop accepting bookings for your dates soon,fake_urgency,Booking.com
79,get FLAT 12% OFF* on your first domestic flight booking,neutral,Airbnb
80,"Flat 15% Instant Discount* on Domestic Hotels, Apartments & Villas and International Hotels",neutral,Airbnb
81,Grab up to 30% Instant Discount* + Avail Interest Free EMI*,neutral,Airbnb
82,Grab Up to 15% OFF* on Domestic & International Hotels,neutral,Airbnb
83,"Upto 20% Instant Discount* on flights, hotels, buses & cabs",neutral,MakeMyTrip
84,FLAT 25% OFF* on our Zero Cancellation Feature,neutral,MakeMyTrip
85,Up to 10% Additional OFF* Per Holiday Package Booking,neutral,MakeMyTrip
86,FREE* Kimono Dress & Japanese Treats with Holiday Package Bookings,neutral,MakeMyTrip
87,FLAT 50% OFF* on Full Refund on Visa Rejection,neutral,MakeMyTrip
88,"Save on Round Trip Bookings:  FLAT ₹2,250 OFF*",neutral,MakeMyTrip
89,"Save on One-way Bookings: FLAT ₹1,500 OFF*",neutral,MakeMyTrip
90,FLAT 50% OFF* use code,neutral,MakeMyTrip
91,Flat 12% off up to Rs. 1500 on your first domestic flight booking!,neutral,MakeMyTrip
92,FLAT 10% Instant Discount* on Bus Bookings,neutral,MakeMyTrip
93,FLAT 10% Instant Discount* on Bus Bookings,neutral,MakeMyTrip
94,Grab up to ₹50 OFF* on booking your first train ticket,neutral,MakeMyTrip
95,"Grab Up To ₹10,000 OFF* on booking your first holiday package.",neutral,MakeMyTrip
96,Grab Up to 40% OFF*,neutral,MakeMyTrip
97,"fares starting only at @ ₹23,133*.",neutral,MakeMyTrip
98,Get Up to 15% OFF* on AirAsia Flights,neutral,MakeMyTrip
